FID	IID	phenotype
HG00096	HG00096	4.662369809981067
HG00097	HG00097	-2.333585782146349
HG00099	HG00099	0.8626515331293227
HG00100	HG00100	-0.7234864518801427
HG00101	HG00101	-0.11445176047869199
HG00102	HG00102	-1.5944938281127041
HG00103	HG00103	-1.1305385927853928
HG00105	HG00105	-4.730956120871087
HG00106	HG00106	1.2756286735715214
HG00107	HG00107	1.8475020612228856
HG00108	HG00108	1.6063350505354859
HG00109	HG00109	-0.3481691989090716
HG00110	HG00110	0.7223249529931395
HG00111	HG00111	3.3906997528888776
HG00112	HG00112	3.5712049280777993
HG00113	HG00113	5.979824374442202
HG00114	HG00114	-4.399929399313234
HG00115	HG00115	2.855139405246465
HG00116	HG00116	1.1555652325637618
HG00117	HG00117	-0.08929070756812574
HG00118	HG00118	4.310124980638205
HG00119	HG00119	1.173110074873143
HG00120	HG00120	-1.2622100374949563
HG00121	HG00121	0.918827030499642
HG00122	HG00122	4.057871913194811
HG00123	HG00123	1.1388191454732177
HG00125	HG00125	3.499658982680168
HG00126	HG00126	2.172408729200634
HG00127	HG00127	0.39497491796530115
HG00128	HG00128	0.1345822018537839
HG00129	HG00129	0.5925551974013945
HG00130	HG00130	2.543037056684799
HG00131	HG00131	-2.0900302738984533
HG00132	HG00132	4.630265724408773
HG00133	HG00133	-1.321021242476744
HG00136	HG00136	2.7822942660487975
HG00137	HG00137	-0.1268413660944434
HG00138	HG00138	2.7398620387191714
HG00139	HG00139	2.5000232602285863
HG00140	HG00140	4.6400130388442715
HG00141	HG00141	5.473984027774762
HG00142	HG00142	1.6766512869161634
HG00143	HG00143	0.8021422230907039
HG00145	HG00145	4.334456268092273
HG00146	HG00146	-2.0239963048439598
HG00148	HG00148	0.955032287477292
HG00149	HG00149	-0.6317974505246522
HG00150	HG00150	-2.5493030541791
HG00151	HG00151	2.4565422384767372
HG00154	HG00154	2.721377600131775
HG00155	HG00155	1.4052449640539466
HG00157	HG00157	3.977791708637226
HG00158	HG00158	-1.0280192657673874
HG00159	HG00159	2.604426777389456
HG00160	HG00160	-2.8094420794368333
HG00171	HG00171	5.179046850735735
HG00173	HG00173	1.1219539260723788
HG00174	HG00174	3.8871270397710793
HG00176	HG00176	1.1058522592789706
HG00177	HG00177	6.011330347290652
HG00178	HG00178	2.541155277005049
HG00179	HG00179	2.0857739511615527
HG00180	HG00180	4.672339224118396
HG00181	HG00181	5.427493893851424
HG00182	HG00182	2.934139200548728
HG00183	HG00183	-2.2449511788317706
HG00185	HG00185	2.4304428295167733
HG00186	HG00186	7.298260537800568
HG00187	HG00187	0.3524914779593715
HG00188	HG00188	-1.0569163923103735
HG00189	HG00189	0.711152699095629
HG00190	HG00190	-0.19762063788338627
HG00231	HG00231	-0.9219388360605297
HG00232	HG00232	-3.800808565038239
HG00233	HG00233	-1.2945483427811264
HG00234	HG00234	2.5660584979609737
HG00235	HG00235	-0.33789606812275697
HG00236	HG00236	-0.2572383505739406
HG00237	HG00237	3.923524649070654
HG00238	HG00238	5.617680315598122
HG00239	HG00239	0.7456179645925534
HG00240	HG00240	3.1888297258896743
HG00242	HG00242	4.845361716264444
HG00243	HG00243	1.1848453053659875
HG00244	HG00244	2.372436031885482
HG00245	HG00245	3.025305712642875
HG00246	HG00246	1.2023125623010755
HG00250	HG00250	0.4146253180444237
HG00251	HG00251	2.433973192147988
HG00252	HG00252	1.982980955917295
HG00253	HG00253	-1.0618358101006717
HG00254	HG00254	-1.6329202729219818
HG00255	HG00255	-1.3672859310244139
HG00256	HG00256	2.4463478046504323
HG00257	HG00257	3.351776413324774
HG00258	HG00258	-2.0326261300008124
HG00259	HG00259	2.4654319868578156
HG00260	HG00260	0.8890795560545437
HG00261	HG00261	0.13477398253449713
HG00262	HG00262	-0.5421352202313066
HG00263	HG00263	3.108159934451106
HG00264	HG00264	3.2018303857239325
HG00265	HG00265	4.941084010731977
HG00266	HG00266	0.08502869414046854
HG00267	HG00267	-1.23376579559761
HG00268	HG00268	-1.2016508804080166
HG00269	HG00269	0.6085748822834192
HG00271	HG00271	2.487830966972675
HG00272	HG00272	2.3141650196079353
HG00273	HG00273	6.642785877176485
HG00274	HG00274	3.851550665130331
HG00275	HG00275	1.1306622136411617
HG00276	HG00276	3.484861443118195
HG00277	HG00277	-0.9089653256968
HG00278	HG00278	1.6355274299147025
HG00280	HG00280	3.7329050862142386
HG00281	HG00281	2.6317483262759467
HG00282	HG00282	8.559425234612608
HG00284	HG00284	2.1304798133606786
HG00285	HG00285	1.6360199057014357
HG00288	HG00288	4.165859566394068
HG00290	HG00290	2.3274169999781185
HG00304	HG00304	-0.19564066307571837
HG00306	HG00306	4.369834412453603
HG00308	HG00308	4.763689762875736
HG00309	HG00309	3.356702477036406
HG00310	HG00310	4.287252742491385
HG00311	HG00311	3.4396155427627555
HG00313	HG00313	1.0865513318609392
HG00315	HG00315	-3.2702143774608734
HG00318	HG00318	-4.818811826182533
HG00319	HG00319	1.8703248843265619
HG00320	HG00320	4.767933414626592
HG00321	HG00321	1.1580682668339755
HG00323	HG00323	2.3564082127997024
HG00324	HG00324	6.81580405573316
HG00325	HG00325	6.14540860729668
HG00326	HG00326	3.2175137080729304
HG00327	HG00327	4.720568001308225
HG00328	HG00328	-2.110987434815296
HG00329	HG00329	0.5211166110960835
HG00330	HG00330	3.2670013651816916
HG00331	HG00331	0.03900657541816854
HG00332	HG00332	-2.9258746153239974
HG00334	HG00334	5.292588783072908
HG00335	HG00335	1.9323495762911147
HG00336	HG00336	-1.9548573678323211
HG00337	HG00337	2.779952691841993
HG00338	HG00338	-2.295205603778258
HG00339	HG00339	1.434062105922604
HG00341	HG00341	0.4494965103270645
HG00342	HG00342	8.348935572042768
HG00343	HG00343	-0.7043612024501158
HG00344	HG00344	0.9134094837442196
HG00345	HG00345	-0.008998023438400837
HG00346	HG00346	-3.8804262545529906
HG00349	HG00349	1.6644634089238353
HG00350	HG00350	-0.9304332138257162
HG00351	HG00351	3.9742609230486297
HG00353	HG00353	6.133012903518961
HG00355	HG00355	0.31972399059282963
HG00356	HG00356	7.0849042597746035
HG00357	HG00357	3.3762943655548345
HG00358	HG00358	-0.8487081068354139
HG00360	HG00360	5.250219487639112
HG00361	HG00361	1.2605767911476042
HG00362	HG00362	2.030422671392939
HG00364	HG00364	-0.10931990145881565
HG00365	HG00365	7.461431189623902
HG00366	HG00366	3.716858476561433
HG00367	HG00367	0.9083366196985083
HG00368	HG00368	1.1948532405688237
HG00369	HG00369	0.4313418755544875
HG00371	HG00371	2.2252951921553974
HG00372	HG00372	4.0417273142989885
HG00373	HG00373	4.211006778066145
HG00375	HG00375	-4.464074302739154
HG00376	HG00376	3.7079043581346305
HG00378	HG00378	-3.729679764417813
HG00379	HG00379	-1.3965733181116593
HG00380	HG00380	6.257456063666293
HG00381	HG00381	1.6172627323219033
HG00382	HG00382	3.5221937927382814
HG00383	HG00383	1.4875358729860317
HG00384	HG00384	3.3885944114139415
HG00403	HG00403	4.08768825473087
HG00404	HG00404	2.6300285990505428
HG00406	HG00406	1.331804598790155
HG00407	HG00407	3.9077885507839394
HG00409	HG00409	4.182998970450176
HG00410	HG00410	6.326069090665599
HG00419	HG00419	5.496151317070949
HG00421	HG00421	-1.3795051465296824
HG00422	HG00422	3.4757146074920655
HG00428	HG00428	0.4240707857573818
HG00436	HG00436	2.93975503717414
HG00437	HG00437	1.9440819772566496
HG00442	HG00442	4.547294224317418
HG00443	HG00443	2.2017907660465066
HG00445	HG00445	3.1864998222524017
HG00446	HG00446	2.9013544396418105
HG00448	HG00448	2.8963269079165928
HG00449	HG00449	3.106318661795183
HG00451	HG00451	-1.2660650130239635
HG00452	HG00452	6.263758582858327
HG00457	HG00457	4.2577335502041445
HG00458	HG00458	5.4009099645422065
HG00463	HG00463	-3.19392505535384
HG00464	HG00464	4.1615227772474785
HG00472	HG00472	7.959940971569132
HG00473	HG00473	6.802648651812369
HG00475	HG00475	2.7289160738036875
HG00476	HG00476	3.855278077338896
HG00478	HG00478	0.4087860706412585
HG00479	HG00479	-0.7785375151039045
HG00500	HG00500	-0.23266264602692305
HG00513	HG00513	-0.3766571939618173
HG00524	HG00524	5.20641747509474
HG00525	HG00525	0.8481679905453048
HG00530	HG00530	2.635580586948196
HG00531	HG00531	3.345062312666234
HG00533	HG00533	1.3782009481280795
HG00534	HG00534	5.528165421699489
HG00536	HG00536	4.07856179798623
HG00537	HG00537	3.139592814984754
HG00542	HG00542	-0.4809278310606195
HG00543	HG00543	4.181791026260315
HG00551	HG00551	1.435352949496631
HG00553	HG00553	4.1194045880301315
HG00554	HG00554	-0.04670448019482126
HG00556	HG00556	-0.1837437725360228
HG00557	HG00557	1.4532643634390325
HG00559	HG00559	5.538412270117822
HG00560	HG00560	0.15239009768454925
HG00565	HG00565	2.805523144500836
HG00566	HG00566	6.3972561188148935
HG00580	HG00580	0.9212651196302419
HG00581	HG00581	2.9588806283904097
HG00583	HG00583	3.562568641798414
HG00584	HG00584	-0.34996239977763044
HG00589	HG00589	2.9245376191927077
HG00590	HG00590	0.5255062586442797
HG00592	HG00592	3.266081171840368
HG00593	HG00593	-0.31807153922643505
HG00595	HG00595	2.7293789179073813
HG00596	HG00596	-0.06150381428980087
HG00598	HG00598	6.1472944628688735
HG00599	HG00599	5.688714175707626
HG00607	HG00607	2.7241982001380363
HG00608	HG00608	2.980865532580604
HG00610	HG00610	5.672371910259752
HG00611	HG00611	4.398451882383334
HG00613	HG00613	0.9286720696912866
HG00614	HG00614	5.379354013756161
HG00619	HG00619	3.082065266743882
HG00620	HG00620	2.6114976092279054
HG00622	HG00622	3.4335421654122564
HG00623	HG00623	4.894012486852021
HG00625	HG00625	5.153817292748739
HG00626	HG00626	1.05571269119995
HG00628	HG00628	3.350222005359087
HG00629	HG00629	7.5772920143961215
HG00631	HG00631	4.303874866314188
HG00632	HG00632	6.275718240818043
HG00634	HG00634	1.8451888938607868
HG00637	HG00637	5.649714067753734
HG00638	HG00638	-0.44454568335600797
HG00640	HG00640	4.9161901444981995
HG00641	HG00641	4.797847882431653
HG00650	HG00650	1.5670099248894127
HG00651	HG00651	2.8437805279588337
HG00653	HG00653	-2.4216278583126862
HG00654	HG00654	3.851109553817982
HG00656	HG00656	0.5790310625135446
HG00657	HG00657	2.037656434624068
HG00662	HG00662	7.865245625509382
HG00663	HG00663	4.1879165262271085
HG00671	HG00671	3.3426107618358953
HG00672	HG00672	4.2590455340208315
HG00674	HG00674	3.20804304435143
HG00675	HG00675	5.072835486454238
HG00683	HG00683	1.3651785811815915
HG00684	HG00684	0.0707681905428279
HG00689	HG00689	3.3894294336453386
HG00690	HG00690	4.2820228625326076
HG00692	HG00692	0.4626813230584579
HG00693	HG00693	-0.49986077025915643
HG00698	HG00698	2.243923148462616
HG00699	HG00699	0.5865670746551612
HG00701	HG00701	2.2616661958394997
HG00704	HG00704	2.5743260519439244
HG00705	HG00705	5.0504879270951
HG00707	HG00707	-0.39884777548033723
HG00708	HG00708	2.103642427296024
HG00717	HG00717	-1.3803978155482013
HG00728	HG00728	2.7121372199379516
HG00729	HG00729	4.4558695082507835
HG00731	HG00731	1.0697499337814418
HG00732	HG00732	3.351531060548418
HG00734	HG00734	4.569971778613433
HG00736	HG00736	3.2715147249326524
HG00737	HG00737	2.603347584436768
HG00739	HG00739	-0.11331541632079203
HG00740	HG00740	3.142175165673939
HG00742	HG00742	2.8267285164843887
HG00743	HG00743	5.38937492881504
