FID	IID	phenotype
HG00096	HG00096	4.95501613751151
HG00097	HG00097	-2.0336736490627656
HG00099	HG00099	1.1603769189493234
HG00100	HG00100	-0.45240985908579334
HG00101	HG00101	0.17615043374014172
HG00102	HG00102	-1.276895062985338
HG00103	HG00103	-0.8429838335402934
HG00105	HG00105	-4.419319619735846
HG00106	HG00106	1.5611843354898445
HG00107	HG00107	2.151427400954966
HG00108	HG00108	1.9009729693952337
HG00109	HG00109	-0.056816404943012655
HG00110	HG00110	1.0078731089139903
HG00111	HG00111	3.666700280025024
HG00112	HG00112	3.8920287701190763
HG00113	HG00113	6.270086296775627
HG00114	HG00114	-4.105524166375126
HG00115	HG00115	3.1258056701789982
HG00116	HG00116	1.438351181414824
HG00117	HG00117	0.2537433809935443
HG00118	HG00118	4.593536429278622
HG00119	HG00119	1.5118056968958513
HG00120	HG00120	-0.9580445058437635
HG00121	HG00121	1.1964863830771562
HG00122	HG00122	4.348211397502116
HG00123	HG00123	1.4326689345983792
HG00125	HG00125	3.7925955421128723
HG00126	HG00126	2.4711098946920274
HG00127	HG00127	0.6825521952028174
HG00128	HG00128	0.41620221909748956
HG00129	HG00129	0.8732069409711798
HG00130	HG00130	2.8565625671838895
HG00131	HG00131	-1.7872858777686738
HG00132	HG00132	4.897954610343979
HG00133	HG00133	-1.03504024070166
HG00136	HG00136	3.0665563944027356
HG00137	HG00137	0.1685496545116869
HG00138	HG00138	3.043219424642518
HG00139	HG00139	2.7869775396759056
HG00140	HG00140	4.9630986881238535
HG00141	HG00141	5.777864331522009
HG00142	HG00142	1.9723550574169708
HG00143	HG00143	1.0933549051039475
HG00145	HG00145	4.635689456730973
HG00146	HG00146	-1.7276470185605386
HG00148	HG00148	1.2445636260567512
HG00149	HG00149	-0.3599852699780222
HG00150	HG00150	-2.2675529329792083
HG00151	HG00151	2.7472094846736637
HG00154	HG00154	3.029859080329513
HG00155	HG00155	1.6936654150075126
HG00157	HG00157	4.286833636646225
HG00158	HG00158	-0.735212810290869
HG00159	HG00159	2.8913660448418312
HG00160	HG00160	-2.5336592262273823
HG00171	HG00171	5.516536509164569
HG00173	HG00173	1.4300200744099851
HG00174	HG00174	4.205498922638087
HG00176	HG00176	1.4067076460449002
