FID	IID	phenotype
HG00096	HG00096	3.7844308273897362
HG00097	HG00097	-3.2333221813970994
HG00099	HG00099	-0.030524624330679373
HG00100	HG00100	-1.5367162302631905
HG00101	HG00101	-0.9862583431351932
HG00102	HG00102	-2.5472901234948027
HG00103	HG00103	-1.9932028705206912
HG00105	HG00105	-5.665865624276809
HG00106	HG00106	0.418961687816552
HG00107	HG00107	0.9357260420266436
HG00108	HG00108	0.7224212939562425
HG00109	HG00109	-1.2222275808072482
HG00110	HG00110	-0.13431951476941317
HG00111	HG00111	2.562698171480438
HG00112	HG00112	2.6087334019539683
HG00113	HG00113	5.109038607441927
HG00114	HG00114	-5.283145098127558
HG00115	HG00115	2.0431406104488667
HG00116	HG00116	0.30720738601057523
HG00117	HG00117	-1.118392973253136
HG00118	HG00118	3.4598906347169565
HG00119	HG00119	0.15702320880501713
HG00120	HG00120	-2.1747066324485345
HG00121	HG00121	0.08584897276709944
HG00122	HG00122	3.1868534602728955
HG00123	HG00123	0.2572697780977339
HG00125	HG00125	2.620849304382056
HG00126	HG00126	1.2763052327264537
HG00127	HG00127	-0.4677569137472477
HG00128	HG00128	-0.7102778498773334
HG00129	HG00129	-0.24940003330796107
HG00130	HG00130	1.6024605251875266
HG00131	HG00131	-2.9982634622877926
HG00132	HG00132	3.827199066603154
HG00133	HG00133	-2.178964247801996
HG00136	HG00136	1.9295078809869823
HG00137	HG00137	-1.0130144279128348
HG00138	HG00138	1.8297898809491302
HG00139	HG00139	1.6391604218866282
HG00140	HG00140	3.670756091005525
HG00141	HG00141	4.562343116533021
HG00142	HG00142	0.7895399754137407
HG00143	HG00143	-0.07149582294902668
HG00145	HG00145	3.4307567021761742
HG00146	HG00146	-2.9130441636942237
HG00148	HG00148	0.08643827173891444
HG00149	HG00149	-1.447233992164542
HG00150	HG00150	-3.394553417778774
HG00151	HG00151	1.5845404998859574
HG00154	HG00154	1.7959331595385624
HG00155	HG00155	0.5399836111932489
HG00157	HG00157	3.0506659246102292
HG00158	HG00158	-1.9064386321969427
HG00159	HG00159	1.743608975032332
HG00160	HG00160	-3.636790639065187
HG00171	HG00171	4.166577875449235
HG00173	HG00173	0.1977554810595601
HG00174	HG00174	2.932011391170055
HG00176	HG00176	0.20328609898118133
HG00177	HG00177	5.026498454696984
HG00178	HG00178	1.624410287482176
HG00179	HG00179	1.1890474568971756
HG00180	HG00180	3.739441328035237
HG00181	HG00181	4.636489373983714
HG00182	HG00182	1.9548842640769417
HG00183	HG00183	-3.186075648144518
HG00185	HG00185	1.55129538133241
HG00186	HG00186	6.353413093741584
HG00187	HG00187	-0.486513895743389
HG00188	HG00188	-1.9538755724963905
HG00189	HG00189	-0.135276106107189
HG00190	HG00190	-1.068699138785079
HG00231	HG00231	-1.806978492260611
HG00232	HG00232	-4.763595343055905
HG00233	HG00233	-2.1157269724872894
HG00234	HG00234	1.7839110551105208
HG00235	HG00235	-1.2260281952814058
HG00236	HG00236	-1.0753170033240633
HG00237	HG00237	3.0672404691867694
HG00238	HG00238	4.802866771748429
HG00239	HG00239	-0.03210844574674332
HG00240	HG00240	2.3611959383573753
HG00242	HG00242	3.875249084713861
HG00243	HG00243	0.29491924481147025
HG00244	HG00244	1.551587666068098
HG00245	HG00245	2.1921625229659427
HG00246	HG00246	0.36137814724794615
HG00250	HG00250	-0.5563354912205241
HG00251	HG00251	1.4961213377331437
HG00252	HG00252	1.0513065374221133
HG00253	HG00253	-1.9478812699620347
HG00254	HG00254	-2.5433677305656355
HG00255	HG00255	-2.212859052515395
HG00256	HG00256	1.5791198804520048
HG00257	HG00257	2.4536613095280306
HG00258	HG00258	-2.893256282421131
HG00259	HG00259	1.5834697896213579
HG00260	HG00260	0.04976643645542067
HG00261	HG00261	-0.7339626471558531
HG00262	HG00262	-1.425185787101241
HG00263	HG00263	2.291327277281377
HG00264	HG00264	2.394034949510795
HG00265	HG00265	4.053642435340776
HG00266	HG00266	-0.7648003279172795
HG00267	HG00267	-2.148364069843419
HG00268	HG00268	-2.1147029191745412
HG00269	HG00269	-0.331731433304852
HG00271	HG00271	1.6746762485643498
HG00272	HG00272	1.3864387557831583
HG00273	HG00273	5.717183810636356
HG00274	HG00274	3.062767920514408
HG00275	HG00275	0.24295792833843105
HG00276	HG00276	2.537537019893368
HG00277	HG00277	-1.9049661425291797
HG00278	HG00278	0.6615191856760203
HG00280	HG00280	2.807378079648831
HG00281	HG00281	1.7662617934910814
HG00282	HG00282	7.758505292084054
HG00284	HG00284	1.1428707017022761
HG00285	HG00285	0.69963172079368
HG00288	HG00288	3.176554099306936
HG00290	HG00290	1.4101465906321877
HG00304	HG00304	-1.1017946901652438
HG00306	HG00306	3.5006249049225007
HG00308	HG00308	3.7749997875813293
HG00309	HG00309	2.4290137431989898
HG00310	HG00310	3.4567441579272136
HG00311	HG00311	2.5584114512709952
HG00313	HG00313	0.241631232150044
HG00315	HG00315	-4.179626007453357
HG00318	HG00318	-5.787032946370109
HG00319	HG00319	0.9077182502482303
HG00320	HG00320	3.816060356933581
HG00321	HG00321	0.1841576005624327
HG00323	HG00323	1.4363680903865113
HG00324	HG00324	5.902294151120828
HG00325	HG00325	5.232093858618627
HG00326	HG00326	2.3171017690496774
HG00327	HG00327	3.8153522239027304
HG00328	HG00328	-3.042286553436865
HG00329	HG00329	-0.4135752183829433
HG00330	HG00330	2.3363852923300974
HG00331	HG00331	-0.8811011009722729
HG00332	HG00332	-3.8666838327429094
HG00334	HG00334	4.43342980615715
HG00335	HG00335	0.9691724864048921
HG00336	HG00336	-2.8535804574243175
HG00337	HG00337	1.925267289419698
HG00338	HG00338	-3.074628369546284
HG00339	HG00339	0.5761716425796577
HG00341	HG00341	-0.39512334948494043
HG00342	HG00342	7.351921445551635
HG00343	HG00343	-1.563054807522593
HG00344	HG00344	-0.07206792463206313
HG00345	HG00345	-0.9879977559961303
HG00346	HG00346	-4.7770176408628675
HG00349	HG00349	0.7871174001328121
HG00350	HG00350	-1.8586023315013565
HG00351	HG00351	3.049356914273419
HG00353	HG00353	5.231264896945647
HG00355	HG00355	-0.5623432906082398
HG00356	HG00356	6.0925438517162664
HG00357	HG00357	2.3720144335105613
HG00358	HG00358	-1.6879461664598143
HG00360	HG00360	4.362049830493102
HG00361	HG00361	0.35527844776991513
HG00362	HG00362	1.1669252279382207
HG00364	HG00364	-0.9999815497656134
HG00365	HG00365	6.5162009396938325
HG00366	HG00366	2.7711928787779745
HG00367	HG00367	-0.06560407056292322
HG00368	HG00368	0.3185805894163326
HG00369	HG00369	-0.4859735697762764
HG00371	HG00371	1.3239224854556961
HG00372	HG00372	3.1247046028696426
HG00373	HG00373	3.218811501952197
HG00375	HG00375	-5.402676756901224
HG00376	HG00376	2.8061563515613166
HG00378	HG00378	-4.569653411794494
HG00379	HG00379	-2.2078140071645604
HG00380	HG00380	5.360631991434777
HG00381	HG00381	0.6538604625115133
HG00382	HG00382	2.6784221106406405
HG00383	HG00383	0.5794452985486653
HG00384	HG00384	2.380794166555182
HG00403	HG00403	3.0063292346440433
HG00404	HG00404	1.5258438406505974
