FID	IID	phenotype
HG00096	HG00096	3.199138172328849
HG00097	HG00097	-3.833146447564266
HG00099	HG00099	-0.6259753959706809
HG00100	HG00100	-2.0788694158518894
HG00101	HG00101	-1.5674627315728606
HG00102	HG00102	-3.1824876537495346
HG00103	HG00103	-2.5683123890108903
HG00105	HG00105	-6.289138626547291
HG00106	HG00106	-0.1521496360200943
HG00107	HG00107	0.3278753625624822
HG00108	HG00108	0.13314545623674703
HG00109	HG00109	-1.804933168739366
HG00110	HG00110	-0.705415826611115
HG00111	HG00111	2.010697117208145
HG00112	HG00112	1.9670857178714147
HG00113	HG00113	4.528514762775077
HG00114	HG00114	-5.871955564003773
HG00115	HG00115	1.5018080805838012
HG00116	HG00116	-0.258364511691549
HG00117	HG00117	-1.804461150376476
HG00118	HG00118	2.8930677374361236
HG00119	HG00119	-0.5203680352404001
HG00120	HG00120	-2.78303769575092
HG00121	HG00121	-0.4694697323879289
HG00122	HG00122	2.606174491658286
HG00123	HG00123	-0.3304298001525888
HG00125	HG00125	2.0349761855166477
HG00126	HG00126	0.6789029017436665
HG00127	HG00127	-1.0429114682222802
HG00128	HG00128	-1.2735178843647446
HG00129	HG00129	-0.8107035204475315
HG00130	HG00130	0.9754095041893451
HG00131	HG00131	-3.603752254547352
HG00132	HG00132	3.291821294732741
HG00133	HG00133	-2.7509262513521637
HG00136	HG00136	1.3609836242791056
HG00137	HG00137	-1.6037964691250954
HG00138	HG00138	1.223075109102436
HG00139	HG00139	1.0652518629919894
HG00140	HG00140	3.0245847924463605
HG00141	HG00141	3.9545825090385263
HG00142	HG00142	0.19813243441212558
HG00143	HG00143	-0.6539211869755138
HG00145	HG00145	2.8282903248987745
HG00146	HG00146	-3.505742736261066
HG00148	HG00148	-0.492624405420004
HG00149	HG00149	-1.9908583532578021
HG00150	HG00150	-3.9580536601785568
HG00151	HG00151	1.0032060074921043
HG00154	HG00154	1.1789701991430872
HG00155	HG00155	-0.03685729071388277
HG00157	HG00157	2.4325820685922315
HG00158	HG00158	-2.492051543149979
HG00159	HG00159	1.169730440127582
HG00160	HG00160	-4.188356345484089
HG00171	HG00171	3.4915985585915683
HG00173	HG00173	-0.41837681561565265
HG00174	HG00174	2.295267625436039
HG00176	HG00176	-0.3984246745506781
HG00177	HG00177	4.369943859634537
HG00178	HG00178	1.0132469611335937
HG00179	HG00179	0.5912297940542575
HG00180	HG00180	3.117509397313131
HG00181	HG00181	4.109153027405241
HG00182	HG00182	1.3020476397624177
HG00183	HG00183	-3.813491961019682
HG00185	HG00185	0.9651970825428342
HG00186	HG00186	5.723514797702261
HG00187	HG00187	-1.0458508115452294
HG00188	HG00188	-2.551848359287068
HG00189	HG00189	-0.6995619762424009
HG00190	HG00190	-1.6494181393862073
HG00231	HG00231	-2.3970049297273315
HG00232	HG00232	-5.405453195067682
HG00233	HG00233	-2.6631793922913976
HG00234	HG00234	1.262479426543552
HG00235	HG00235	-1.8181162800538384
HG00236	HG00236	-1.6207027718241451
HG00237	HG00237	2.49638434926418
HG00238	HG00238	4.259657742515301
HG00239	HG00239	-0.5505927193062745
HG00240	HG00240	1.8094400800025094
HG00242	HG00242	3.2285073303468055
HG00243	HG00243	-0.29836479555820794
HG00244	HG00244	1.0043554221898423
HG00245	HG00245	1.6367337298479878
HG00246	HG00246	-0.19924479612080692
HG00250	HG00250	-1.203642697397156
HG00251	HG00251	0.8708867681232471
HG00252	HG00252	0.43019025842532543
HG00253	HG00253	-2.5385782432029433
HG00254	HG00254	-3.150332702328071
HG00255	HG00255	-2.7765744668427157
HG00256	HG00256	1.0009679309863864
HG00257	HG00257	1.854917906996868
HG00258	HG00258	-3.4670097173680094
HG00259	HG00259	0.9954949914637194
HG00260	HG00260	-0.5097756432773279
HG00261	HG00261	-1.313120400282753
HG00262	HG00262	-2.0138861650145303
HG00263	HG00263	1.746772172501558
HG00264	HG00264	1.8555046587020363
HG00265	HG00265	3.4620147184133074
HG00266	HG00266	-1.3313530092891113
HG00267	HG00267	-2.7580962526739583
HG00268	HG00268	-2.7234042783522248
HG00269	HG00269	-0.9586023103636994
HG00271	HG00271	1.1325731029587995
HG00272	HG00272	0.7679545798999735
HG00273	HG00273	5.100115766276269
HG00274	HG00274	2.5369127574371246
